Measure,Ent_Type,Exact,Partial,Strict
Actual,6,6,6,6
Correct,6,6,6,6
Incorrect,0,0,0,0
Missed,0,0,0,0
Partial,0,0,0,0
Possible,6,6,6,6
Precision,1.0,1.0,1.0,1.0
Recall,1.0,1.0,1.0,1.0
Spurious,0,0,0,0

MONEY

Measure,Ent_Type,Exact,Partial,Strict
Actual,11,11,11,11
Correct,11,11,11,11
Incorrect,0,0,0,0
Missed,0,0,0,0
Partial,0,0,0,0
Possible,11,11,11,11
Precision,1.0,1.0,1.0,1.0
Recall,1.0,1.0,1.0,1.0
Spurious,0,0,0,0

